2021-12,92191
2021-12,7640
2021-12,47985
2021-12,29247
2021-12,124997
2021-12,54788
2021-12,20071
2021-12,6161
2021-12,1250
2021-12,150928
2021-12,68601
2021-12,380
2021-12,1462
2021-12,24776
2021-12,437647
2021-12,117333
2021-12,20883
2021-12,22229
2021-12,375026
2021-12,40638
2021-12,11932
2021-12,41
2021-12,21663
2021-12,18710
2021-12,77489
2021-12,71660
2021-12,36523
2021-12,61316
2021-12,14798
2021-12,8112
2021-12,14598
2021-12,13160
2021-12,13598
2021-12,17967
2021-12,38797
2021-12,65191
2021-12,6550
2021-12,75074
2021-12,43321
2021-12,39198
2021-12,120487
2021-12,6892
2021-12,2792
2021-12,42392
2021-12,9034
2021-12,92922
2021-12,186352
2021-12,91536
2021-12,4583
2021-12,180
2021-12,62755
2021-12,69015
2021-12,23083
2021-12,65899
2021-12,8442
2021-11,74158
2021-11,7342
2021-11,38933
2021-11,23744
2021-11,112977
2021-11,48728
2021-11,20566
2021-11,5334
2021-11,1288
2021-11,129708
2021-11,56981
2021-11,386
2021-11,1568
2021-11,22754
2021-11,303670
2021-11,117778
2021-11,18495
2021-11,19934
2021-11,372237
2021-11,34641
2021-11,10571
2021-11,38
2021-11,20191
2021-11,18318
2021-11,73622
2021-11,70470
2021-11,29567
2021-11,51965
2021-11,12714
2021-11,7416
2021-11,12209
2021-11,10798
2021-11,14453
2021-11,14427
2021-11,36471
2021-11,58875
2021-11,6273
2021-11,70492
2021-11,36936
2021-11,36231
2021-11,109089
2021-11,7020
2021-11,2706
2021-11,36603
2021-11,8717
2021-11,78252
2021-11,150809
2021-11,85831
2021-11,3683
2021-11,181
2021-11,54909
2021-11,56444
2021-11,20461
2021-11,66983
2021-11,7241
2021-10,66499
2021-10,7572
2021-10,38523
2021-10,21518
2021-10,114144
2021-10,46964
2021-10,20467
2021-10,5221
2021-10,1342
2021-10,125938
2021-10,54202
2021-10,403
2021-10,1570
2021-10,20322
2021-10,251681
2021-10,112228
2021-10,18119
2021-10,17529
2021-10,370434
2021-10,31793
2021-10,12019
2021-10,31
2021-10,18940
2021-10,19178
2021-10,71295
2021-10,84006
2021-10,23487
2021-10,47730
2021-10,13967
2021-10,6555
2021-10,13143
2021-10,11369
2021-10,13908
2021-10,14055
2021-10,38053
2021-10,53753
2021-10,7361
2021-10,61404
2021-10,30359
2021-10,35098
2021-10,110047
2021-10,7089
2021-10,2418
2021-10,35878
2021-10,10049
2021-10,69638
2021-10,146593
2021-10,88155
2021-10,4300
