Date,Close
1999,9
2000,8.4
2001,8.8
2002,8.4
2003,8.4
2004,8.6
2005,8.9
2006,10
2007,11.2
2008,12.7
2009,14
2010,14.3
2011,16.3
2012,19.5
2013,21
2014,20.9
2015,23
2016,27.4
2017,25
2018,25.8
2019,28
2020,39.3
2021,38.6
